'EPIC N.MF.MV Log File

'Date,N.MF.MV
08/06/2023 12:35:09.433,0.0
08/06/2023 12:35:10.450,0.0
08/06/2023 12:35:11.451,0.0
08/06/2023 12:35:13.452,0.0
08/06/2023 12:35:14.471,0.0
08/06/2023 12:35:16.473,-1.00E-04
08/06/2023 12:35:17.490,-1.00E-04
08/06/2023 12:35:26.489,4.00E-04
08/06/2023 12:35:28.492,4.00E-04
08/06/2023 12:35:40.611,2.00E-04
08/06/2023 12:35:42.620,2.00E-04
08/06/2023 12:35:46.653,1.00E-04
08/06/2023 12:35:48.692,1.00E-04
08/06/2023 12:35:53.750,0.0
08/06/2023 12:35:55.751,0.0
08/06/2023 12:35:57.750,0.0
08/06/2023 12:35:59.751,0.0
08/06/2023 12:36:01.751,1.00E-04
08/06/2023 12:36:02.748,1.00E-04
08/06/2023 12:36:10.752,0.0
08/06/2023 12:36:11.771,0.0
08/06/2023 12:36:13.770,-3.00E-04
08/06/2023 12:36:14.772,-3.00E-04
08/06/2023 12:36:20.830,2.00E-04
08/06/2023 12:36:22.830,2.00E-04
08/06/2023 12:36:23.833,1.00E-04
08/06/2023 12:36:24.853,1.00E-04
08/06/2023 12:36:27.887,0.0
08/06/2023 12:36:28.891,0.0
08/06/2023 12:36:29.895,-1.00E-04
08/06/2023 12:36:30.911,-1.00E-04
08/06/2023 12:36:36.971,0.0
08/06/2023 12:36:38.971,0.0
08/06/2023 12:36:40.971,2.00E-04
08/06/2023 12:36:41.972,2.00E-04
08/06/2023 12:36:48.053,0.0
08/06/2023 12:36:49.072,0.0
08/06/2023 12:36:50.090,0.0
08/06/2023 12:36:52.092,3.00E-04
08/06/2023 12:36:53.111,3.00E-04
08/06/2023 12:36:58.138,0.0
08/06/2023 12:36:59.150,0.0
08/06/2023 12:37:01.151,0.0
08/06/2023 12:37:02.153,2.00E-04
08/06/2023 12:37:03.174,2.00E-04
08/06/2023 12:37:05.211,0.0
08/06/2023 12:37:07.210,0.0
08/06/2023 12:37:08.218,1.00E-04
08/06/2023 12:37:09.231,1.00E-04
08/06/2023 12:37:24.315,0.0
08/06/2023 12:37:25.330,0.0
08/06/2023 12:37:26.331,0.0
08/06/2023 12:37:27.327,-3.00E-04
08/06/2023 12:37:28.331,-3.00E-04
08/06/2023 12:37:30.348,2.00E-04
08/06/2023 12:37:32.382,2.00E-04
08/06/2023 12:37:33.390,6.00E-04
08/06/2023 12:37:34.387,6.00E-04
08/06/2023 12:37:43.388,1.00E-04
08/06/2023 12:37:44.390,1.00E-04
08/06/2023 12:37:47.391,0.0
08/06/2023 12:37:48.413,0.0
08/06/2023 12:37:49.430,0.0
08/06/2023 12:37:50.432,0.0
08/06/2023 12:37:51.450,0.0
08/06/2023 12:37:53.450,0.0
08/06/2023 12:37:55.451,2.00E-04
08/06/2023 12:37:57.469,2.00E-04
08/06/2023 12:37:59.471,2.00E-04
08/06/2023 12:38:01.471,1.00E-04
08/06/2023 12:38:02.468,1.00E-04
08/06/2023 12:38:04.471,2.00E-04
08/06/2023 12:38:05.494,2.00E-04
08/06/2023 12:38:10.527,0.0
08/06/2023 12:38:11.533,0.0
08/06/2023 12:38:12.551,0.0
08/06/2023 12:38:13.547,-2.00E-04
08/06/2023 12:38:14.551,-2.00E-04
08/06/2023 12:38:17.551,0.0
08/06/2023 12:38:19.551,0.0
08/06/2023 12:38:20.547,-1.00E-04
08/06/2023 12:38:21.554,-1.00E-04
08/06/2023 12:38:24.610,2.00E-04
08/06/2023 12:38:26.631,2.00E-04
08/06/2023 12:38:31.668,2.00E-04
08/06/2023 12:38:33.671,2.00E-04
08/06/2023 12:38:34.691,0.0
08/06/2023 12:38:36.691,0.0
08/06/2023 12:38:37.688,-1.00E-04
08/06/2023 12:38:38.693,-1.00E-04
08/06/2023 12:38:41.711,0.0
08/06/2023 12:38:43.710,0.0
08/06/2023 12:38:45.710,4.00E-04
08/06/2023 12:38:46.711,4.00E-04
08/06/2023 12:38:47.715,2.00E-04
08/06/2023 12:38:48.739,2.00E-04
08/06/2023 12:38:51.750,0.0
08/06/2023 12:38:53.751,0.0
08/06/2023 12:38:55.750,4.00E-04
08/06/2023 12:38:56.752,4.00E-04
08/06/2023 12:38:57.770,0.0
08/06/2023 12:38:58.774,0.0
08/06/2023 12:38:59.789,0.0
08/06/2023 12:39:01.790,-1.00E-04
08/06/2023 12:39:02.788,-1.00E-04
08/06/2023 12:39:08.831,2.00E-04
08/06/2023 12:39:10.831,2.00E-04
08/06/2023 12:39:12.832,1.00E-04
08/06/2023 12:39:13.850,1.00E-04
08/06/2023 12:39:15.851,4.00E-04
08/06/2023 12:39:16.847,4.00E-04
08/06/2023 12:39:22.847,1.00E-04
08/06/2023 12:39:23.850,1.00E-04
08/06/2023 12:39:27.851,0.0
08/06/2023 12:39:29.850,0.0
08/06/2023 12:39:31.850,0.0
08/06/2023 12:39:33.851,0.0
08/06/2023 12:39:34.849,-3.00E-04
08/06/2023 12:39:35.850,-3.00E-04
08/06/2023 12:39:37.849,1.00E-04
08/06/2023 12:39:39.871,1.00E-04
08/06/2023 12:39:41.871,2.00E-04
08/06/2023 12:39:43.887,2.00E-04
08/06/2023 12:39:48.900,2.00E-04
08/06/2023 12:39:50.932,3.00E-04
08/06/2023 12:39:52.947,3.00E-04
08/06/2023 12:39:54.948,1.00E-04
08/06/2023 12:39:56.978,1.00E-04
08/06/2023 12:40:05.050,3.00E-04
08/06/2023 12:40:07.050,3.00E-04
08/06/2023 12:40:12.067,0.0
08/06/2023 12:40:13.070,0.0
08/06/2023 12:40:14.071,0.0
08/06/2023 12:40:16.071,2.00E-04
08/06/2023 12:40:17.073,2.00E-04
08/06/2023 12:40:25.166,3.00E-04
08/06/2023 12:40:26.170,3.00E-04
08/06/2023 12:40:32.225,2.00E-04
08/06/2023 12:40:33.221,2.00E-04
08/06/2023 12:40:42.258,4.00E-04
08/06/2023 12:40:43.262,4.00E-04
