'EPIC GC Atmion.PG.MV Log File

'Date,GC Atmion.PG.MV
08/06/2023 00:04:26.204,1.00E-08
08/06/2023 00:04:27.228,1.00E-08
08/06/2023 00:04:28.239,1.00E-08
08/06/2023 00:04:29.261,1.00E-08
08/06/2023 00:04:30.271,1.00E-08
08/06/2023 00:04:31.282,1.00E-08
08/06/2023 00:04:32.307,1.00E-08
08/06/2023 00:04:33.316,1.00E-08
08/06/2023 00:04:34.331,1.00E-08
08/06/2023 00:04:35.346,1.00E-08
08/06/2023 00:04:36.363,1.00E-08
08/06/2023 00:04:37.381,1.10E-08
08/06/2023 00:04:38.402,1.10E-08
08/06/2023 00:04:39.414,1.10E-08
08/06/2023 00:04:40.431,1.10E-08
08/06/2023 00:04:41.455,1.10E-08
08/06/2023 00:04:42.477,1.10E-08
08/06/2023 00:04:43.498,1.10E-08
08/06/2023 00:04:44.521,1.10E-08
08/06/2023 00:04:45.531,1.10E-08
08/06/2023 00:04:46.543,1.10E-08
08/06/2023 00:04:47.572,1.10E-08
08/06/2023 00:04:48.589,1.10E-08
08/06/2023 00:04:49.602,1.10E-08
08/06/2023 00:04:50.621,1.10E-08
08/06/2023 00:04:51.638,1.10E-08
08/06/2023 00:04:52.667,1.10E-08
08/06/2023 00:04:53.679,1.10E-08
08/06/2023 00:04:54.697,1.10E-08
08/06/2023 00:04:55.707,1.20E-08
08/06/2023 00:04:56.730,1.20E-08
08/06/2023 00:04:57.753,1.20E-08
08/06/2023 00:04:58.763,1.20E-08
08/06/2023 00:04:59.778,1.20E-08
08/06/2023 00:05:00.790,1.20E-08
08/06/2023 00:05:01.815,1.20E-08
08/06/2023 00:05:02.839,1.20E-08
08/06/2023 00:05:03.862,1.20E-08
08/06/2023 00:05:04.874,1.20E-08
08/06/2023 00:05:05.885,1.20E-08
08/06/2023 00:05:06.910,1.20E-08
08/06/2023 00:05:07.922,1.20E-08
08/06/2023 00:05:08.941,1.20E-08
08/06/2023 00:05:09.963,1.20E-08
08/06/2023 00:05:10.990,1.20E-08
08/06/2023 00:05:12.012,1.30E-08
08/06/2023 00:05:13.021,1.30E-08
08/06/2023 00:05:14.031,1.30E-08
08/06/2023 00:05:15.055,1.30E-08
08/06/2023 00:05:16.080,1.30E-08
08/06/2023 00:05:17.089,1.30E-08
08/06/2023 00:05:18.113,1.30E-08
08/06/2023 00:05:19.122,1.30E-08
08/06/2023 00:05:20.141,1.30E-08
08/06/2023 00:05:21.155,1.30E-08
08/06/2023 00:05:22.170,1.30E-08
