'EPIC O.MF.MV Log File

'Date,O.MF.MV
08/06/2023 10:56:55.343,4.68E-02
08/06/2023 10:56:56.347,4.68E-02
08/06/2023 10:57:26.527,5.24E-02
08/06/2023 10:57:27.537,5.24E-02
08/06/2023 10:57:55.717,4.72E-02
08/06/2023 10:57:56.727,4.72E-02
08/06/2023 10:59:35.077,5.32E-02
08/06/2023 10:59:36.083,5.32E-02
08/06/2023 11:03:15.021,4.72E-02
08/06/2023 11:03:16.017,4.72E-02
08/06/2023 11:04:21.962,5.32E-02
08/06/2023 11:04:22.978,5.32E-02
08/06/2023 11:05:35.192,4.80E-02
08/06/2023 11:05:36.213,4.80E-02
08/06/2023 11:06:20.923,5.36E-02
08/06/2023 11:06:21.942,5.36E-02
08/06/2023 11:09:39.301,4.84E-02
08/06/2023 11:09:40.311,4.84E-02
08/06/2023 11:13:35.394,5.36E-02
08/06/2023 11:13:36.396,5.36E-02
08/06/2023 11:14:49.593,4.84E-02
08/06/2023 11:14:50.598,4.84E-02
08/06/2023 11:16:31.777,5.36E-02
08/06/2023 11:16:32.787,5.36E-02
08/06/2023 11:16:54.853,4.80E-02
08/06/2023 11:16:55.868,4.80E-02
08/06/2023 11:18:28.193,5.36E-02
08/06/2023 11:18:29.197,5.36E-02
08/06/2023 11:19:52.647,4.84E-02
08/06/2023 11:19:53.643,4.84E-02
08/06/2023 11:25:01.722,5.36E-02
08/06/2023 11:25:02.727,5.36E-02
08/06/2023 11:26:24.966,4.84E-02
08/06/2023 11:26:25.962,4.84E-02
08/06/2023 11:26:41.042,5.36E-02
08/06/2023 11:26:42.057,5.36E-02
08/06/2023 11:28:53.556,4.84E-02
08/06/2023 11:28:54.551,4.84E-02
08/06/2023 11:29:52.766,5.40E-02
08/06/2023 11:29:53.768,5.40E-02
08/06/2023 11:30:58.016,4.80E-02
08/06/2023 11:30:59.011,4.80E-02
08/06/2023 11:31:31.063,5.36E-02
08/06/2023 11:31:32.059,5.36E-02
08/06/2023 11:32:56.639,0.0
08/06/2023 11:32:57.655,5.16E-02
08/06/2023 11:32:58.651,5.16E-02
08/06/2023 11:33:38.786,4.56E-02
