'EPIC LL IG.PG.MV Log File

'Date,LL IG.PG.MV
08/06/2023 10:34:46.349,7.30E-09
08/06/2023 10:34:48.349,7.30E-09
08/06/2023 10:34:50.350,7.30E-09
08/06/2023 10:34:51.371,7.30E-09
08/06/2023 10:34:52.389,7.30E-09
08/06/2023 10:34:54.389,7.30E-09
08/06/2023 10:34:56.390,7.30E-09
08/06/2023 10:34:57.401,7.30E-09
08/06/2023 10:34:58.418,7.30E-09
08/06/2023 10:34:59.419,7.30E-09
08/06/2023 10:35:01.418,7.30E-09
08/06/2023 10:35:03.419,7.30E-09
08/06/2023 10:35:05.418,7.30E-09
08/06/2023 10:35:07.419,7.30E-09
08/06/2023 10:35:08.429,7.30E-09
08/06/2023 10:35:10.428,7.30E-09
08/06/2023 10:35:12.427,7.30E-09
08/06/2023 10:35:14.429,7.30E-09
08/06/2023 10:35:16.429,7.30E-09
08/06/2023 10:35:18.428,7.30E-09
08/06/2023 10:35:20.428,7.30E-09
08/06/2023 10:35:22.428,7.30E-09
08/06/2023 10:35:23.429,7.30E-09
08/06/2023 10:35:24.451,7.30E-09
08/06/2023 10:35:25.468,7.30E-09
08/06/2023 10:35:27.468,7.30E-09
08/06/2023 10:35:29.471,7.30E-09
08/06/2023 10:35:30.488,7.30E-09
08/06/2023 10:35:32.488,7.30E-09
08/06/2023 10:35:34.488,7.30E-09
08/06/2023 10:35:36.491,7.30E-09
08/06/2023 10:35:37.509,7.30E-09
08/06/2023 10:35:38.514,7.30E-09
08/06/2023 10:35:39.536,7.30E-09
08/06/2023 10:35:40.548,7.30E-09
08/06/2023 10:35:42.548,7.30E-09
08/06/2023 10:35:44.548,7.30E-09
08/06/2023 10:35:46.549,7.30E-09
08/06/2023 10:35:48.548,7.30E-09
08/06/2023 10:35:50.548,7.30E-09
08/06/2023 10:35:52.549,7.30E-09
08/06/2023 10:35:54.548,7.30E-09
08/06/2023 10:35:56.548,7.30E-09
08/06/2023 10:35:58.548,7.30E-09
08/06/2023 10:36:00.549,7.30E-09
08/06/2023 10:36:02.548,7.30E-09
08/06/2023 10:36:04.548,7.30E-09
08/06/2023 10:36:06.548,7.30E-09
08/06/2023 10:36:08.548,7.30E-09
08/06/2023 10:36:10.548,7.30E-09
08/06/2023 10:36:12.548,7.30E-09
08/06/2023 10:36:13.549,7.30E-09
08/06/2023 10:36:15.548,7.30E-09
08/06/2023 10:36:16.570,7.30E-09
08/06/2023 10:36:17.588,7.30E-09
08/06/2023 10:36:18.589,7.30E-09
08/06/2023 10:36:19.590,7.30E-09
08/06/2023 10:36:20.610,7.30E-09
08/06/2023 10:36:21.628,7.30E-09
08/06/2023 10:36:23.629,7.30E-09
08/06/2023 10:36:25.638,7.30E-09
08/06/2023 10:36:27.638,7.30E-09
08/06/2023 10:36:29.639,7.30E-09
08/06/2023 10:36:31.639,7.30E-09
08/06/2023 10:36:33.639,7.30E-09
08/06/2023 10:36:35.640,7.30E-09
08/06/2023 10:36:36.659,7.30E-09
08/06/2023 10:36:38.658,7.30E-09
08/06/2023 10:36:40.658,7.30E-09
08/06/2023 10:36:42.658,7.30E-09
08/06/2023 10:36:44.658,7.30E-09
08/06/2023 10:36:45.681,7.30E-09
08/06/2023 10:36:46.698,7.30E-09
08/06/2023 10:36:48.698,7.30E-09
08/06/2023 10:36:50.711,7.30E-09
08/06/2023 10:36:51.723,7.30E-09
08/06/2023 10:36:52.729,7.30E-09
08/06/2023 10:36:54.728,7.30E-09
08/06/2023 10:36:55.748,7.30E-09
08/06/2023 10:36:57.752,7.30E-09
08/06/2023 10:36:58.768,7.30E-09
08/06/2023 10:37:00.778,7.30E-09
08/06/2023 10:37:01.788,7.30E-09
08/06/2023 10:37:03.788,7.30E-09
08/06/2023 10:37:05.794,7.30E-09
08/06/2023 10:37:06.808,7.30E-09
08/06/2023 10:37:07.818,7.30E-09
08/06/2023 10:37:09.818,7.30E-09
08/06/2023 10:37:11.818,7.30E-09
08/06/2023 10:37:12.819,7.30E-09
08/06/2023 10:37:13.828,7.30E-09
08/06/2023 10:37:14.839,7.30E-09
08/06/2023 10:37:15.848,7.30E-09
08/06/2023 10:37:17.848,7.30E-09
08/06/2023 10:37:19.868,7.30E-09
08/06/2023 10:37:20.891,7.30E-09
08/06/2023 10:37:21.910,7.30E-09
08/06/2023 10:37:22.928,7.30E-09
08/06/2023 10:37:23.929,7.30E-09
08/06/2023 10:37:25.938,7.30E-09
08/06/2023 10:37:27.938,7.30E-09
