'EPIC O.Forward.MV Log File

'Date,O.Forward.MV
08/06/2023 12:39:13.851,306.2
08/06/2023 12:39:14.847,306.2
08/06/2023 12:39:16.847,304.4
08/06/2023 12:39:17.851,307.5
08/06/2023 12:39:19.852,305.6
08/06/2023 12:39:21.851,308.1
08/06/2023 12:39:22.847,308.1
08/06/2023 12:39:23.851,305.0
08/06/2023 12:39:25.850,306.2
08/06/2023 12:39:26.847,306.9
08/06/2023 12:39:29.851,305.0
08/06/2023 12:39:31.850,307.5
08/06/2023 12:39:32.848,307.5
08/06/2023 12:39:33.851,306.2
08/06/2023 12:39:34.849,306.9
08/06/2023 12:39:36.848,308.1
08/06/2023 12:39:37.850,307.5
08/06/2023 12:39:38.858,306.2
08/06/2023 12:39:39.871,306.2
08/06/2023 12:39:47.887,308.1
08/06/2023 12:39:48.900,306.9
08/06/2023 12:39:49.912,305.6
08/06/2023 12:39:50.933,307.5
08/06/2023 12:39:51.951,306.9
08/06/2023 12:39:57.991,305.0
08/06/2023 12:39:59.991,306.9
08/06/2023 12:40:00.988,306.2
08/06/2023 12:40:01.993,307.5
08/06/2023 12:40:03.013,307.5
08/06/2023 12:40:05.051,306.2
08/06/2023 12:40:06.047,306.2
08/06/2023 12:40:10.070,307.5
08/06/2023 12:40:11.071,308.1
08/06/2023 12:40:13.070,306.9
08/06/2023 12:40:14.071,306.9
08/06/2023 12:40:18.094,305.6
08/06/2023 12:40:19.113,308.1
08/06/2023 12:40:20.133,308.1
08/06/2023 12:40:21.164,306.2
08/06/2023 12:40:22.171,307.5
08/06/2023 12:40:24.171,306.2
08/06/2023 12:40:25.166,306.2
08/06/2023 12:40:29.186,308.7
08/06/2023 12:40:30.196,305.0
08/06/2023 12:40:31.207,305.0
08/06/2023 12:40:33.221,306.2
08/06/2023 12:40:34.231,305.6
08/06/2023 12:40:49.298,307.5
08/06/2023 12:40:50.303,306.9
08/06/2023 12:40:52.315,306.2
08/06/2023 12:40:53.318,306.9
