'EPIC MIG.PG.GS Log File

'Date,MIG.PG.GS
08/06/2023 00:05:57.768,19.00
08/06/2023 00:05:58.777,19.00
08/06/2023 00:05:59.801,19.00
08/06/2023 00:06:00.816,19.00
08/06/2023 00:06:01.829,19.00
08/06/2023 00:06:02.837,19.00
08/06/2023 00:06:03.875,19.00
08/06/2023 00:06:04.899,19.00
08/06/2023 00:06:05.922,19.00
08/06/2023 00:06:06.946,19.00
08/06/2023 00:06:07.967,19.00
08/06/2023 00:06:08.982,19.00
08/06/2023 00:06:09.996,19.00
08/06/2023 00:06:11.021,19.00
08/06/2023 00:06:12.034,19.00
08/06/2023 00:06:13.056,19.00
08/06/2023 00:06:14.067,19.00
08/06/2023 00:06:15.084,19.00
08/06/2023 00:06:16.104,19.00
08/06/2023 00:06:17.115,19.00
08/06/2023 00:06:18.138,19.00
08/06/2023 00:06:19.158,19.00
08/06/2023 00:06:20.177,19.00
08/06/2023 00:06:21.189,19.00
08/06/2023 00:06:22.219,19.00
08/06/2023 00:06:23.230,19.00
08/06/2023 00:06:24.252,19.00
08/06/2023 00:06:25.280,19.00
08/06/2023 00:06:26.299,19.00
08/06/2023 00:06:27.310,19.00
08/06/2023 00:06:28.334,19.00
08/06/2023 00:06:29.362,19.00
08/06/2023 00:06:30.387,19.00
08/06/2023 00:06:31.411,19.00
08/06/2023 00:06:32.435,19.00
08/06/2023 00:06:33.455,19.00
08/06/2023 00:06:34.477,19.00
08/06/2023 00:06:35.489,19.00
08/06/2023 00:06:36.500,19.00
08/06/2023 00:06:37.514,19.00
08/06/2023 00:06:38.524,19.00
08/06/2023 00:06:39.535,19.00
08/06/2023 00:06:40.561,19.00
08/06/2023 00:06:41.581,19.00
08/06/2023 00:06:42.602,19.00
08/06/2023 00:06:43.614,19.00
08/06/2023 00:06:44.634,19.00
08/06/2023 00:06:45.643,19.00
08/06/2023 00:06:46.654,19.00
08/06/2023 00:06:47.670,19.00
08/06/2023 00:06:48.686,19.00
08/06/2023 00:06:49.695,19.00
08/06/2023 00:06:50.725,19.00
08/06/2023 00:06:51.745,19.00
08/06/2023 00:06:52.767,19.00
08/06/2023 00:06:53.779,19.00
08/06/2023 00:06:54.801,19.00
08/06/2023 00:06:55.817,19.00
08/06/2023 00:06:56.828,19.00
08/06/2023 00:06:57.838,19.00
08/06/2023 00:06:58.855,19.00
08/06/2023 00:06:59.863,19.00
08/06/2023 00:07:00.873,19.00
08/06/2023 00:07:01.889,19.00
08/06/2023 00:07:02.914,19.00
08/06/2023 00:07:03.938,19.00
08/06/2023 00:07:04.949,19.00
08/06/2023 00:07:05.962,19.00
08/06/2023 00:07:06.983,19.00
08/06/2023 00:07:07.992,19.00
08/06/2023 00:07:09.015,19.00
08/06/2023 00:07:10.027,19.00
08/06/2023 00:07:11.036,19.00
08/06/2023 00:07:12.046,19.00
08/06/2023 00:07:13.066,19.00
08/06/2023 00:07:14.098,19.00
08/06/2023 00:07:15.117,19.00
08/06/2023 00:07:16.148,19.00
08/06/2023 00:07:17.167,19.00
08/06/2023 00:07:18.180,19.00
08/06/2023 00:07:19.205,19.00
08/06/2023 00:07:20.228,19.00
08/06/2023 00:07:21.258,19.00
08/06/2023 00:07:22.276,19.00
08/06/2023 00:07:23.300,19.00
08/06/2023 00:07:24.323,19.00
08/06/2023 00:07:25.340,19.00
08/06/2023 00:07:26.360,19.00
08/06/2023 00:07:27.371,19.00
08/06/2023 00:07:28.379,19.00
08/06/2023 00:07:29.403,19.00
08/06/2023 00:07:30.412,19.00
08/06/2023 00:07:31.425,19.00
08/06/2023 00:07:32.441,19.00
08/06/2023 00:07:33.463,19.00
08/06/2023 00:07:34.472,19.00
08/06/2023 00:07:35.483,19.00
08/06/2023 00:07:36.492,19.00
08/06/2023 00:07:37.516,19.00
08/06/2023 00:07:38.537,19.00
08/06/2023 00:07:39.559,19.00
08/06/2023 00:07:40.573,19.00
08/06/2023 00:07:41.586,19.00
08/06/2023 00:07:42.610,19.00
08/06/2023 00:07:43.624,19.00
08/06/2023 00:07:44.648,19.00
08/06/2023 00:07:45.673,19.00
08/06/2023 00:07:46.684,19.00
08/06/2023 00:07:47.718,19.00
08/06/2023 00:07:48.730,19.00
08/06/2023 00:07:49.740,19.00
08/06/2023 00:07:50.752,19.00
08/06/2023 00:07:51.764,19.00
08/06/2023 00:07:52.786,19.00
08/06/2023 00:07:53.810,19.00
08/06/2023 00:07:54.830,19.00
08/06/2023 00:07:55.841,19.00
08/06/2023 00:07:56.853,19.00
08/06/2023 00:07:57.873,19.00
08/06/2023 00:07:58.883,19.00
08/06/2023 00:07:59.907,19.00
08/06/2023 00:08:00.917,19.00
08/06/2023 00:08:01.930,19.00
08/06/2023 00:08:02.954,19.00
08/06/2023 00:08:03.963,19.00
08/06/2023 00:08:04.987,19.00
08/06/2023 00:08:06.002,19.00
08/06/2023 00:08:07.019,19.00
08/06/2023 00:08:08.029,19.00
08/06/2023 00:08:09.052,19.00
08/06/2023 00:08:10.065,19.00
08/06/2023 00:08:11.083,19.00
08/06/2023 00:08:12.109,19.00
08/06/2023 00:08:13.118,19.00
08/06/2023 00:08:14.140,19.00
08/06/2023 00:08:15.149,19.00
08/06/2023 00:08:16.171,19.00
08/06/2023 00:08:17.194,19.00
