'EPIC Sub.PID.wOP Log File

'Date,Sub.PID.wOP
08/06/2023 00:06:14.065,11.80
08/06/2023 00:06:15.083,11.80
08/06/2023 00:06:16.103,11.80
08/06/2023 00:06:17.114,11.80
08/06/2023 00:06:18.137,11.80
08/06/2023 00:06:19.156,11.80
08/06/2023 00:06:20.176,11.80
08/06/2023 00:06:21.188,11.80
08/06/2023 00:06:22.218,11.80
08/06/2023 00:06:23.228,11.80
08/06/2023 00:06:24.251,11.80
08/06/2023 00:06:25.279,11.80
08/06/2023 00:06:26.298,11.80
08/06/2023 00:06:27.308,11.80
08/06/2023 00:06:28.333,11.80
08/06/2023 00:06:29.360,11.80
08/06/2023 00:06:30.385,11.80
08/06/2023 00:06:31.410,11.80
08/06/2023 00:06:32.433,11.80
08/06/2023 00:06:33.454,11.80
08/06/2023 00:06:34.476,11.80
08/06/2023 00:06:35.487,11.80
08/06/2023 00:06:36.498,11.80
08/06/2023 00:06:37.512,11.80
08/06/2023 00:06:38.523,11.80
08/06/2023 00:06:39.534,11.80
08/06/2023 00:06:40.559,11.80
08/06/2023 00:06:41.579,11.80
08/06/2023 00:06:42.600,11.80
08/06/2023 00:06:43.613,11.80
08/06/2023 00:06:44.633,11.80
08/06/2023 00:06:45.642,11.80
08/06/2023 00:06:46.653,11.80
08/06/2023 00:06:47.668,11.80
08/06/2023 00:06:48.685,11.80
08/06/2023 00:06:49.694,11.80
08/06/2023 00:06:50.723,11.80
08/06/2023 00:06:51.744,11.80
08/06/2023 00:06:52.766,11.80
08/06/2023 00:06:53.777,11.80
08/06/2023 00:06:54.799,11.80
08/06/2023 00:06:55.815,11.80
08/06/2023 00:06:56.827,11.80
08/06/2023 00:06:57.837,11.80
08/06/2023 00:06:58.853,11.80
08/06/2023 00:06:59.862,11.80
08/06/2023 00:07:00.872,11.80
08/06/2023 00:07:01.888,11.80
08/06/2023 00:07:02.913,11.80
08/06/2023 00:07:03.936,11.80
08/06/2023 00:07:04.948,11.80
08/06/2023 00:07:05.960,11.80
08/06/2023 00:07:06.981,11.80
08/06/2023 00:07:07.991,11.80
08/06/2023 00:07:09.013,11.80
08/06/2023 00:07:10.026,11.80
08/06/2023 00:07:11.034,11.80
08/06/2023 00:07:12.045,11.80
08/06/2023 00:07:13.064,11.80
08/06/2023 00:07:14.096,11.80
08/06/2023 00:07:15.116,11.80
08/06/2023 00:07:16.147,11.80
08/06/2023 00:07:17.165,11.80
08/06/2023 00:07:18.179,11.80
08/06/2023 00:07:19.204,11.80
08/06/2023 00:07:20.227,11.80
08/06/2023 00:07:21.257,11.80
08/06/2023 00:07:22.274,11.80
08/06/2023 00:07:23.298,11.80
08/06/2023 00:07:24.322,11.80
08/06/2023 00:07:25.339,11.80
08/06/2023 00:07:26.359,11.80
08/06/2023 00:07:27.369,11.80
08/06/2023 00:07:28.378,11.80
08/06/2023 00:07:29.401,11.80
08/06/2023 00:07:30.410,11.80
08/06/2023 00:07:31.421,11.80
08/06/2023 00:07:32.440,11.90
08/06/2023 00:07:33.461,11.80
08/06/2023 00:07:34.471,11.80
08/06/2023 00:07:35.481,11.80
08/06/2023 00:07:36.490,11.80
08/06/2023 00:07:37.514,11.80
08/06/2023 00:07:38.535,11.80
08/06/2023 00:07:39.558,11.80
08/06/2023 00:07:40.572,11.80
08/06/2023 00:07:41.585,11.80
08/06/2023 00:07:42.609,11.80
08/06/2023 00:07:43.620,11.80
08/06/2023 00:07:44.646,11.80
08/06/2023 00:07:45.671,11.80
08/06/2023 00:07:46.682,11.80
08/06/2023 00:07:47.717,11.80
08/06/2023 00:07:48.728,11.80
08/06/2023 00:07:49.738,11.80
08/06/2023 00:07:50.750,11.80
08/06/2023 00:07:51.762,11.80
08/06/2023 00:07:52.784,11.90
08/06/2023 00:07:53.808,11.80
08/06/2023 00:07:54.829,11.80
08/06/2023 00:07:55.840,11.80
08/06/2023 00:07:56.851,11.80
08/06/2023 00:07:57.871,11.80
08/06/2023 00:07:58.882,11.80
08/06/2023 00:07:59.906,11.80
08/06/2023 00:08:00.915,11.80
08/06/2023 00:08:01.928,11.80
08/06/2023 00:08:02.952,11.80
08/06/2023 00:08:03.961,11.80
08/06/2023 00:08:04.985,11.80
08/06/2023 00:08:06.000,11.80
08/06/2023 00:08:07.017,11.80
08/06/2023 00:08:08.028,11.80
08/06/2023 00:08:09.050,11.80
08/06/2023 00:08:10.062,11.80
08/06/2023 00:08:11.082,11.90
08/06/2023 00:08:12.108,11.90
08/06/2023 00:08:13.117,11.80
08/06/2023 00:08:14.139,11.80
08/06/2023 00:08:15.148,11.80
08/06/2023 00:08:16.169,11.80
08/06/2023 00:08:17.192,11.80
08/06/2023 00:08:18.213,11.80
08/06/2023 00:08:19.221,11.80
08/06/2023 00:08:20.231,11.80
08/06/2023 00:08:21.254,11.90
08/06/2023 00:08:22.264,11.80
08/06/2023 00:08:23.285,11.80
08/06/2023 00:08:24.294,11.80
08/06/2023 00:08:25.305,11.90
08/06/2023 00:08:26.328,11.90
08/06/2023 00:08:27.352,11.80
08/06/2023 00:08:28.377,11.80
08/06/2023 00:08:29.392,11.80
08/06/2023 00:08:30.403,11.90
08/06/2023 00:08:31.412,11.80
08/06/2023 00:08:32.438,11.80
08/06/2023 00:08:33.461,11.80
08/06/2023 00:08:34.473,11.90
08/06/2023 00:08:35.490,11.80
08/06/2023 00:08:36.508,11.80
08/06/2023 00:08:37.529,11.80
08/06/2023 00:08:38.541,11.80
08/06/2023 00:08:39.553,11.80
08/06/2023 00:08:40.562,11.90
08/06/2023 00:08:41.581,11.80
08/06/2023 00:08:42.591,11.90
08/06/2023 00:08:43.601,11.80
08/06/2023 00:08:44.622,11.90
08/06/2023 00:08:45.632,11.90
08/06/2023 00:08:46.644,11.90
08/06/2023 00:08:47.669,11.80
08/06/2023 00:08:48.692,11.80
08/06/2023 00:08:49.717,11.80
08/06/2023 00:08:50.736,11.80
08/06/2023 00:08:51.747,11.80
08/06/2023 00:08:52.771,11.90
08/06/2023 00:08:53.781,11.90
08/06/2023 00:08:54.804,11.90
08/06/2023 00:08:55.828,11.90
08/06/2023 00:08:56.852,11.80
08/06/2023 00:08:57.863,11.90
08/06/2023 00:08:58.878,11.90
08/06/2023 00:08:59.899,11.90
08/06/2023 00:09:00.922,11.90
08/06/2023 00:09:01.940,11.80
08/06/2023 00:09:02.954,11.80
08/06/2023 00:09:03.971,11.80
08/06/2023 00:09:04.979,11.80
08/06/2023 00:09:06.002,11.80
08/06/2023 00:09:07.026,11.90
08/06/2023 00:09:08.045,11.90
08/06/2023 00:09:09.067,11.90
08/06/2023 00:09:10.090,11.90
08/06/2023 00:09:11.111,11.80
08/06/2023 00:09:12.121,11.80
08/06/2023 00:09:13.144,11.90
08/06/2023 00:09:14.169,11.80
08/06/2023 00:09:15.178,11.80
08/06/2023 00:09:16.200,11.90
08/06/2023 00:09:17.224,11.90
08/06/2023 00:09:18.235,11.90
08/06/2023 00:09:19.246,11.90
08/06/2023 00:09:20.255,11.80
08/06/2023 00:09:21.270,11.90
08/06/2023 00:09:22.279,11.80
08/06/2023 00:09:23.290,11.90
08/06/2023 00:09:24.313,11.80
08/06/2023 00:09:25.341,11.80
08/06/2023 00:09:26.360,11.90
08/06/2023 00:09:27.389,11.80
08/06/2023 00:09:28.408,11.90
08/06/2023 00:09:29.423,11.80
08/06/2023 00:09:30.442,11.90
08/06/2023 00:09:31.455,11.90
08/06/2023 00:09:32.469,11.90
08/06/2023 00:09:33.478,11.80
08/06/2023 00:09:34.493,11.90
08/06/2023 00:09:35.515,11.90
08/06/2023 00:09:36.535,11.90
08/06/2023 00:09:37.556,11.90
08/06/2023 00:09:38.580,11.90
08/06/2023 00:09:39.604,11.90
