'EPIC O.Reflect.MV Log File

'Date,O.Reflect.MV
08/06/2023 00:16:04.871,14.37
08/06/2023 00:16:05.892,14.37
08/06/2023 00:16:06.902,15.62
08/06/2023 00:16:07.918,15.62
08/06/2023 00:16:10.980,14.37
08/06/2023 00:16:11.991,14.37
08/06/2023 00:16:18.077,15.62
08/06/2023 00:16:19.088,15.62
08/06/2023 00:16:31.253,14.37
08/06/2023 00:16:32.275,15.00
08/06/2023 00:16:34.308,15.62
08/06/2023 00:16:35.344,14.37
08/06/2023 00:16:36.355,14.37
08/06/2023 00:16:40.394,15.62
08/06/2023 00:16:41.409,15.62
08/06/2023 00:16:45.515,14.37
08/06/2023 00:16:46.535,15.62
08/06/2023 00:16:47.554,15.62
08/06/2023 00:16:50.581,13.75
08/06/2023 00:16:51.592,15.00
08/06/2023 00:16:52.601,15.00
08/06/2023 00:17:32.265,16.25
08/06/2023 00:17:33.287,15.62
08/06/2023 00:17:35.322,15.00
08/06/2023 00:17:36.334,15.00
08/06/2023 00:17:48.559,13.75
08/06/2023 00:17:49.580,15.00
08/06/2023 00:17:50.592,15.00
08/06/2023 00:18:18.064,13.75
08/06/2023 00:18:19.076,15.00
08/06/2023 00:18:20.095,15.00
08/06/2023 00:18:21.111,16.25
08/06/2023 00:18:22.120,16.25
08/06/2023 00:18:23.136,15.00
08/06/2023 00:18:24.152,15.00
08/06/2023 00:18:41.423,16.25
08/06/2023 00:18:42.442,15.62
08/06/2023 00:18:45.487,15.00
08/06/2023 00:18:46.506,14.37
08/06/2023 00:19:07.817,13.75
08/06/2023 00:19:08.836,15.00
08/06/2023 00:19:09.859,15.00
08/06/2023 00:19:13.910,13.75
08/06/2023 00:19:14.930,15.62
08/06/2023 00:19:15.954,15.62
08/06/2023 00:19:16.963,13.75
08/06/2023 00:19:17.975,14.37
08/06/2023 00:19:22.051,15.62
08/06/2023 00:19:23.075,15.62
08/06/2023 00:19:25.126,13.75
08/06/2023 00:19:26.158,14.37
08/06/2023 00:19:29.201,15.00
08/06/2023 00:19:30.222,14.37
08/06/2023 00:19:31.234,15.62
08/06/2023 00:19:32.249,15.62
08/06/2023 00:19:33.260,14.37
08/06/2023 00:19:34.276,14.37
08/06/2023 00:19:36.321,15.62
08/06/2023 00:19:37.344,15.62
08/06/2023 00:19:38.365,14.37
08/06/2023 00:19:39.378,15.00
08/06/2023 00:20:01.780,16.25
08/06/2023 00:20:02.804,15.62
08/06/2023 00:20:04.850,14.37
08/06/2023 00:20:05.874,15.00
08/06/2023 00:20:07.907,15.62
08/06/2023 00:20:08.924,15.62
08/06/2023 00:20:43.437,14.37
08/06/2023 00:20:44.469,15.00
08/06/2023 00:20:51.591,15.62
08/06/2023 00:20:52.610,15.62
08/06/2023 00:21:10.926,14.37
08/06/2023 00:21:11.954,14.37
08/06/2023 00:21:12.976,15.62
08/06/2023 00:21:13.986,15.62
08/06/2023 00:21:18.052,14.37
08/06/2023 00:21:19.065,16.25
08/06/2023 00:21:20.077,14.37
08/06/2023 00:21:21.089,15.62
08/06/2023 00:21:22.111,15.62
08/06/2023 00:21:25.167,14.37
08/06/2023 00:21:26.189,15.62
08/06/2023 00:21:27.198,14.37
08/06/2023 00:21:28.206,15.00
08/06/2023 00:21:32.271,15.62
08/06/2023 00:21:33.283,15.00
08/06/2023 00:21:42.459,14.37
08/06/2023 00:21:43.476,14.37
08/06/2023 00:21:46.546,15.62
08/06/2023 00:21:47.562,15.00
08/06/2023 00:21:51.651,14.37
08/06/2023 00:21:52.662,15.62
08/06/2023 00:21:53.672,15.00
08/06/2023 00:21:54.682,13.75
08/06/2023 00:21:55.705,15.62
08/06/2023 00:21:56.716,15.62
08/06/2023 00:22:00.793,14.37
08/06/2023 00:22:01.801,15.00
08/06/2023 00:22:03.826,15.62
08/06/2023 00:22:04.835,15.00
08/06/2023 00:22:05.846,16.25
08/06/2023 00:22:06.875,15.62
08/06/2023 00:22:08.925,15.00
08/06/2023 00:22:09.934,14.37
08/06/2023 00:22:20.085,13.75
08/06/2023 00:22:21.108,14.37
08/06/2023 00:22:23.132,15.00
08/06/2023 00:22:24.153,15.62
08/06/2023 00:22:48.565,16.25
08/06/2023 00:22:49.587,15.62
08/06/2023 00:22:53.676,15.00
08/06/2023 00:22:54.697,15.62
08/06/2023 00:22:55.717,14.37
08/06/2023 00:22:56.728,15.00
08/06/2023 00:23:05.872,15.62
08/06/2023 00:23:06.881,15.00
08/06/2023 00:23:09.927,14.37
08/06/2023 00:23:10.943,13.75
08/06/2023 00:23:20.060,15.62
08/06/2023 00:23:21.081,15.00
08/06/2023 00:23:24.117,14.37
08/06/2023 00:23:25.124,13.75
08/06/2023 00:23:27.163,15.62
08/06/2023 00:23:28.171,15.00
08/06/2023 00:23:37.342,13.75
08/06/2023 00:23:38.353,15.00
08/06/2023 00:23:39.362,14.37
08/06/2023 00:23:44.453,16.25
08/06/2023 00:23:45.464,15.62
08/06/2023 00:23:48.508,14.37
08/06/2023 00:23:49.518,15.00
08/06/2023 00:23:53.581,15.62
08/06/2023 00:23:54.589,15.62
08/06/2023 00:23:58.639,14.37
08/06/2023 00:23:59.659,14.37
08/06/2023 00:24:10.848,15.62
08/06/2023 00:24:11.855,15.62
08/06/2023 00:24:19.974,13.75
08/06/2023 00:24:20.995,14.37
08/06/2023 00:24:22.016,15.62
08/06/2023 00:24:23.024,15.00
08/06/2023 00:24:26.056,14.37
08/06/2023 00:24:27.079,14.37
08/06/2023 00:24:35.217,15.62
08/06/2023 00:24:36.225,15.62
08/06/2023 00:24:50.443,14.37
08/06/2023 00:24:51.455,14.37
08/06/2023 00:24:52.476,15.62
08/06/2023 00:24:53.496,15.00
08/06/2023 00:25:15.863,14.37
08/06/2023 00:25:16.885,14.37
08/06/2023 00:25:20.957,15.62
08/06/2023 00:25:21.968,15.62
08/06/2023 00:25:23.991,14.37
08/06/2023 00:25:25.003,15.62
08/06/2023 00:25:26.025,15.00
08/06/2023 00:25:27.037,16.25
08/06/2023 00:25:28.056,14.37
08/06/2023 00:25:29.079,15.00
08/06/2023 00:25:35.171,15.62
08/06/2023 00:25:36.190,15.00
08/06/2023 00:25:41.259,16.87
08/06/2023 00:25:42.274,15.62
08/06/2023 00:25:43.303,15.62
08/06/2023 00:25:50.391,14.37
08/06/2023 00:25:51.408,15.00
08/06/2023 00:25:53.427,15.62
08/06/2023 00:25:54.438,15.00
08/06/2023 00:25:58.532,14.37
08/06/2023 00:25:59.556,15.00
08/06/2023 00:26:06.657,15.62
08/06/2023 00:26:07.682,15.62
08/06/2023 00:26:14.794,14.37
08/06/2023 00:26:15.817,14.37
08/06/2023 00:26:20.908,13.12
08/06/2023 00:26:21.916,15.00
08/06/2023 00:26:22.928,15.62
08/06/2023 00:26:50.372,16.25
08/06/2023 00:26:51.389,16.25
08/06/2023 00:26:52.410,15.00
08/06/2023 00:26:53.436,15.62
08/06/2023 00:26:56.492,13.75
08/06/2023 00:26:57.516,14.37
08/06/2023 00:27:02.584,15.62
08/06/2023 00:27:03.596,15.62
08/06/2023 00:27:17.841,14.37
08/06/2023 00:27:18.852,14.37
08/06/2023 00:27:21.886,15.62
08/06/2023 00:27:22.902,15.00
08/06/2023 00:27:29.973,14.37
08/06/2023 00:27:30.999,14.37
08/06/2023 00:27:36.064,15.62
08/06/2023 00:27:37.081,14.37
08/06/2023 00:27:38.104,14.37
08/06/2023 00:27:39.127,15.62
08/06/2023 00:27:40.137,15.62
08/06/2023 00:27:42.157,14.37
08/06/2023 00:27:43.173,15.00
08/06/2023 00:27:44.193,16.25
08/06/2023 00:27:45.202,15.62
08/06/2023 00:27:47.231,14.37
08/06/2023 00:27:48.257,15.00
08/06/2023 00:27:51.314,15.62
08/06/2023 00:27:52.336,15.62
08/06/2023 00:27:53.363,14.37
08/06/2023 00:27:54.388,15.00
08/06/2023 00:28:03.528,15.62
08/06/2023 00:28:04.538,15.00
08/06/2023 00:28:06.561,14.37
08/06/2023 00:28:07.585,14.37
08/06/2023 00:28:16.736,15.62
08/06/2023 00:28:17.751,15.62
08/06/2023 00:28:30.983,13.75
08/06/2023 00:28:32.003,15.00
08/06/2023 00:28:33.013,15.62
08/06/2023 00:28:34.023,14.37
08/06/2023 00:28:35.035,15.00
08/06/2023 00:28:37.065,15.62
08/06/2023 00:28:38.087,15.00
08/06/2023 00:28:41.144,14.37
08/06/2023 00:28:42.168,15.00
08/06/2023 00:28:45.214,15.62
08/06/2023 00:28:46.226,15.62
08/06/2023 00:28:57.384,14.37
08/06/2023 00:28:58.404,14.37
08/06/2023 00:29:01.438,15.62
08/06/2023 00:29:02.447,15.62
08/06/2023 00:29:10.549,13.75
08/06/2023 00:29:11.571,15.00
08/06/2023 00:29:12.584,15.62
08/06/2023 00:29:15.645,16.25
08/06/2023 00:29:16.659,15.62
08/06/2023 00:29:21.735,14.37
08/06/2023 00:29:22.756,15.00
08/06/2023 00:29:29.924,15.62
08/06/2023 00:29:30.938,15.62
08/06/2023 00:29:42.124,14.37
08/06/2023 00:29:43.135,15.62
08/06/2023 00:29:44.148,15.00
08/06/2023 00:29:46.167,14.37
08/06/2023 00:29:47.177,13.75
08/06/2023 00:29:51.239,16.25
08/06/2023 00:29:52.261,14.37
08/06/2023 00:29:53.273,16.25
08/06/2023 00:29:54.298,15.62
08/06/2023 00:29:56.335,15.00
08/06/2023 00:29:57.347,15.62
08/06/2023 00:30:09.576,13.75
08/06/2023 00:30:10.587,15.00
08/06/2023 00:30:11.608,15.00
08/06/2023 00:30:12.627,13.75
08/06/2023 00:30:13.637,15.00
08/06/2023 00:30:14.649,14.37
08/06/2023 00:30:17.700,13.75
08/06/2023 00:30:18.713,15.00
08/06/2023 00:30:19.722,15.62
08/06/2023 00:30:21.765,16.25
08/06/2023 00:30:22.789,15.62
08/06/2023 00:30:26.846,15.00
08/06/2023 00:30:27.855,15.62
08/06/2023 00:30:32.931,13.75
08/06/2023 00:30:33.941,15.00
08/06/2023 00:30:34.963,15.00
08/06/2023 00:30:48.197,16.25
08/06/2023 00:30:49.215,15.62
08/06/2023 00:30:51.237,15.00
08/06/2023 00:30:52.247,15.00
08/06/2023 00:31:07.513,16.25
08/06/2023 00:31:08.533,15.00
08/06/2023 00:31:09.545,15.00
08/06/2023 00:31:10.567,13.75
08/06/2023 00:31:11.586,15.00
08/06/2023 00:31:12.603,16.25
08/06/2023 00:31:13.618,16.25
08/06/2023 00:31:15.653,15.00
08/06/2023 00:31:16.665,15.00
08/06/2023 00:31:23.771,13.75
08/06/2023 00:31:24.780,15.00
08/06/2023 00:31:25.791,15.00
08/06/2023 00:31:52.204,13.75
08/06/2023 00:31:53.225,15.62
08/06/2023 00:31:54.235,16.25
08/06/2023 00:32:09.447,14.37
08/06/2023 00:32:10.463,15.00
