'EPIC O.Light.MV Log File

'Date,O.Light.MV
08/06/2023 06:46:41.067,0.1095
08/06/2023 06:46:52.210,0.1147
08/06/2023 06:46:53.219,0.1095
08/06/2023 06:47:27.684,0.1043
08/06/2023 06:47:32.738,0.1095
08/06/2023 06:47:42.886,0.1147
08/06/2023 06:47:43.895,0.1095
08/06/2023 06:50:30.147,0.1043
08/06/2023 06:50:32.175,0.1095
08/06/2023 06:50:42.286,0.1147
08/06/2023 06:50:43.297,0.1199
08/06/2023 06:51:29.000,0.1043
08/06/2023 06:51:31.019,0.1095
08/06/2023 06:51:41.171,0.1147
08/06/2023 06:51:42.186,0.1095
08/06/2023 06:57:37.067,0.1043
08/06/2023 06:57:39.105,0.1095
08/06/2023 06:57:49.242,0.1147
08/06/2023 06:57:50.269,0.1199
08/06/2023 06:58:31.767,0.1043
08/06/2023 06:58:32.779,0.1095
08/06/2023 06:58:42.978,0.1147
08/06/2023 06:58:43.992,0.1147
08/06/2023 06:59:21.404,0.1043
08/06/2023 06:59:22.425,0.1095
08/06/2023 06:59:32.586,0.1147
08/06/2023 06:59:33.605,0.1095
08/06/2023 07:02:03.693,0.1043
08/06/2023 07:02:04.703,0.1043
08/06/2023 07:02:14.813,0.1147
08/06/2023 07:02:15.833,0.1147
08/06/2023 07:04:38.701,0.1043
08/06/2023 07:04:40.723,0.1095
08/06/2023 07:04:50.884,0.1147
08/06/2023 07:04:51.897,0.1147
08/06/2023 07:07:50.388,0.1251
08/06/2023 07:07:59.542,0.1199
08/06/2023 07:08:09.732,0.1147
08/06/2023 07:08:10.755,0.1147
08/06/2023 07:09:26.060,0.1043
08/06/2023 07:09:29.111,0.1095
08/06/2023 07:09:42.315,0.1147
08/06/2023 07:09:43.324,0.1199
08/06/2023 07:12:42.271,0.1043
08/06/2023 07:12:49.374,0.1095
08/06/2023 07:13:01.550,0.1147
08/06/2023 07:13:02.562,0.1147
08/06/2023 07:15:24.084,0.1043
08/06/2023 07:15:27.125,0.1095
08/06/2023 07:15:37.297,0.1199
08/06/2023 07:15:38.318,0.1147
08/06/2023 07:15:52.605,0.1095
08/06/2023 07:15:53.620,0.1095
08/06/2023 07:16:09.866,0.1199
08/06/2023 07:16:10.875,0.1147
08/06/2023 07:16:21.051,0.1095
08/06/2023 07:16:22.062,0.1147
08/06/2023 07:16:49.505,0.1199
08/06/2023 07:16:50.514,0.1147
08/06/2023 07:17:00.719,0.1095
08/06/2023 07:17:01.749,0.1095
08/06/2023 07:17:24.119,0.1199
08/06/2023 07:17:26.149,0.1147
08/06/2023 07:17:39.351,0.1095
08/06/2023 07:17:40.366,0.1147
08/06/2023 07:17:57.638,0.1199
08/06/2023 07:18:01.681,0.1147
08/06/2023 07:18:16.938,0.1095
08/06/2023 07:18:17.957,0.1147
08/06/2023 07:18:41.333,0.1199
08/06/2023 07:18:43.379,0.1147
08/06/2023 07:19:07.837,0.1095
08/06/2023 07:19:08.856,0.1095
08/06/2023 07:19:51.607,0.1199
08/06/2023 07:19:52.618,0.1147
08/06/2023 07:20:02.789,0.1095
08/06/2023 07:20:03.802,0.1095
08/06/2023 07:20:26.130,0.1199
08/06/2023 07:20:27.142,0.1147
08/06/2023 07:20:37.273,0.1095
08/06/2023 07:20:38.295,0.1147
08/06/2023 07:21:21.038,0.1199
08/06/2023 07:21:22.063,0.1199
08/06/2023 07:21:39.364,0.1095
08/06/2023 07:21:40.373,0.1095
08/06/2023 07:22:03.756,0.1199
08/06/2023 07:22:05.788,0.1147
08/06/2023 07:22:15.918,0.1095
08/06/2023 07:22:16.931,0.1095
08/06/2023 07:22:46.395,0.1199
08/06/2023 07:22:47.418,0.1147
08/06/2023 07:22:57.579,0.1095
08/06/2023 07:22:58.588,0.1147
08/06/2023 07:23:28.071,0.1199
08/06/2023 07:23:29.094,0.1147
08/06/2023 07:23:40.255,0.1043
08/06/2023 07:23:45.308,0.1095
08/06/2023 07:23:55.474,0.1147
08/06/2023 07:23:56.487,0.1095
08/06/2023 07:24:53.509,0.1043
08/06/2023 07:24:54.516,0.1095
08/06/2023 07:25:04.697,0.1147
08/06/2023 07:25:05.707,0.1095
08/06/2023 07:26:31.123,0.1043
08/06/2023 07:26:33.161,0.1095
08/06/2023 07:26:44.360,0.1199
08/06/2023 07:26:45.377,0.1199
08/06/2023 07:27:00.612,0.1095
08/06/2023 07:27:01.622,0.1095
08/06/2023 07:27:13.826,0.1199
08/06/2023 07:27:14.843,0.1199
08/06/2023 07:27:24.961,0.1095
08/06/2023 07:27:26.984,0.1147
08/06/2023 07:27:37.139,0.1199
08/06/2023 07:27:41.203,0.1147
08/06/2023 07:27:52.379,0.1095
08/06/2023 07:27:53.393,0.1095
08/06/2023 07:28:08.608,0.1199
08/06/2023 07:28:10.626,0.1147
08/06/2023 07:28:20.789,0.1095
08/06/2023 07:28:21.811,0.1095
08/06/2023 07:28:41.094,0.1199
08/06/2023 07:28:43.126,0.1199
08/06/2023 07:28:53.319,0.1095
08/06/2023 07:28:54.337,0.1147
08/06/2023 07:29:04.514,0.1199
08/06/2023 07:29:06.544,0.1147
08/06/2023 07:29:17.707,0.1095
08/06/2023 07:29:18.718,0.1095
08/06/2023 07:29:30.895,0.1251
08/06/2023 07:29:31.907,0.1199
08/06/2023 07:29:42.089,0.1147
08/06/2023 07:29:43.099,0.1095
08/06/2023 07:30:55.355,0.1043
08/06/2023 07:30:56.378,0.1095
08/06/2023 07:31:09.614,0.1147
08/06/2023 07:31:10.635,0.1147
08/06/2023 07:32:27.987,0.1251
08/06/2023 07:32:33.086,0.1199
08/06/2023 07:32:43.253,0.1147
08/06/2023 07:32:44.265,0.1147
08/06/2023 07:34:39.191,0.1043
08/06/2023 07:34:49.377,0.1199
08/06/2023 07:34:51.421,0.1147
08/06/2023 07:35:01.611,0.1095
08/06/2023 07:35:02.635,0.1147
08/06/2023 07:35:39.251,0.1199
08/06/2023 07:35:40.274,0.1147
08/06/2023 07:35:51.434,0.1095
08/06/2023 07:35:52.453,0.1095
08/06/2023 07:36:17.914,0.1199
08/06/2023 07:36:18.930,0.1147
08/06/2023 07:36:29.097,0.1095
08/06/2023 07:36:30.107,0.1147
08/06/2023 07:36:55.527,0.1199
08/06/2023 07:36:56.548,0.1147
08/06/2023 07:37:10.823,0.1095
08/06/2023 07:37:11.850,0.1147
08/06/2023 07:37:46.457,0.1199
08/06/2023 07:37:47.468,0.1147
08/06/2023 07:37:57.659,0.1095
08/06/2023 07:37:58.688,0.1147
08/06/2023 07:38:17.041,0.1199
08/06/2023 07:38:18.070,0.1199
08/06/2023 07:38:30.308,0.1095
08/06/2023 07:38:31.328,0.1147
08/06/2023 07:39:10.980,0.1199
08/06/2023 07:39:11.998,0.1147
08/06/2023 07:39:24.234,0.1095
08/06/2023 07:39:25.254,0.1147
08/06/2023 07:39:42.556,0.1199
08/06/2023 07:39:43.571,0.1147
08/06/2023 07:39:59.866,0.1095
08/06/2023 07:40:00.885,0.1147
08/06/2023 07:40:18.177,0.1199
08/06/2023 07:40:21.226,0.1147
08/06/2023 07:40:34.457,0.1095
08/06/2023 07:40:35.472,0.1095
08/06/2023 07:40:52.768,0.1199
08/06/2023 07:40:53.786,0.1199
08/06/2023 07:41:05.987,0.1095
08/06/2023 07:41:06.996,0.1147
08/06/2023 07:41:26.302,0.1199
08/06/2023 07:41:27.322,0.1147
08/06/2023 07:41:47.706,0.1095
08/06/2023 07:41:48.722,0.1147
08/06/2023 07:42:10.125,0.1199
08/06/2023 07:42:11.139,0.1147
08/06/2023 07:42:22.379,0.1043
08/06/2023 07:42:23.398,0.1043
08/06/2023 07:42:33.585,0.1147
08/06/2023 07:42:34.594,0.1095
08/06/2023 07:44:58.935,0.1043
08/06/2023 07:45:00.964,0.1095
08/06/2023 07:45:11.164,0.1147
08/06/2023 07:45:12.177,0.1147
08/06/2023 07:46:42.822,0.1043
08/06/2023 07:46:45.859,0.1095
08/06/2023 07:46:56.041,0.1147
08/06/2023 07:46:57.061,0.1147
08/06/2023 07:48:49.523,0.1251
08/06/2023 07:48:59.676,0.1147
08/06/2023 07:49:00.689,0.1095
08/06/2023 07:49:22.024,0.1043
08/06/2023 07:49:26.072,0.1095
08/06/2023 07:49:36.173,0.1147
08/06/2023 07:49:37.184,0.1095
08/06/2023 07:49:51.387,0.1043
08/06/2023 07:49:53.424,0.1095
08/06/2023 07:50:03.570,0.1147
08/06/2023 07:50:04.593,0.1199
08/06/2023 07:51:08.531,0.1043
08/06/2023 07:51:12.582,0.1095
08/06/2023 07:51:22.722,0.1147
08/06/2023 07:51:23.728,0.1147
08/06/2023 07:51:43.987,0.1043
08/06/2023 07:51:52.095,0.1095
08/06/2023 07:52:03.229,0.1147
08/06/2023 07:52:04.251,0.1095
08/06/2023 07:52:16.404,0.1043
08/06/2023 07:52:17.413,0.1095
08/06/2023 07:52:27.556,0.1147
08/06/2023 07:52:28.566,0.1147
08/06/2023 07:52:47.753,0.1251
08/06/2023 07:52:48.774,0.1199
08/06/2023 07:52:58.894,0.1095
08/06/2023 07:52:59.906,0.1095
08/06/2023 07:53:21.177,0.1199
08/06/2023 07:53:22.188,0.1147
08/06/2023 07:53:32.365,0.1095
08/06/2023 07:53:34.406,0.1095
08/06/2023 07:53:48.612,0.1199
08/06/2023 07:53:56.699,0.1199
08/06/2023 07:54:06.844,0.1095
08/06/2023 07:54:07.851,0.1095
08/06/2023 07:54:26.122,0.1199
08/06/2023 07:54:28.139,0.1147
08/06/2023 07:54:43.325,0.1095
08/06/2023 07:54:44.347,0.1095
08/06/2023 07:54:57.533,0.1199
08/06/2023 07:54:58.540,0.1147
08/06/2023 07:55:08.647,0.1095
08/06/2023 07:55:09.654,0.1147
08/06/2023 07:55:20.819,0.1199
08/06/2023 07:55:21.830,0.1147
08/06/2023 07:55:31.952,0.1095
08/06/2023 07:55:32.966,0.1095
08/06/2023 07:55:43.082,0.1199
08/06/2023 07:55:45.097,0.1147
08/06/2023 07:55:56.238,0.1095
08/06/2023 07:55:57.244,0.1147
08/06/2023 07:56:12.435,0.1199
08/06/2023 07:56:13.455,0.1147
08/06/2023 07:56:28.650,0.1095
08/06/2023 07:56:29.659,0.1095
08/06/2023 07:56:42.861,0.1199
08/06/2023 07:56:46.945,0.1147
08/06/2023 07:56:57.096,0.1095
08/06/2023 07:56:59.125,0.1147
08/06/2023 07:57:20.390,0.1199
08/06/2023 07:57:21.411,0.1147
08/06/2023 07:57:35.599,0.1095
08/06/2023 07:57:36.607,0.1095
08/06/2023 07:57:54.915,0.1199
08/06/2023 07:57:55.927,0.1147
08/06/2023 07:58:06.061,0.1043
08/06/2023 07:58:07.071,0.1095
08/06/2023 07:58:17.225,0.1147
08/06/2023 07:58:18.245,0.1147
08/06/2023 07:59:27.206,0.1043
08/06/2023 07:59:28.214,0.1043
08/06/2023 07:59:38.379,0.1199
08/06/2023 07:59:39.387,0.1147
08/06/2023 07:59:54.653,0.1095
08/06/2023 07:59:55.675,0.1147
08/06/2023 08:00:14.936,0.1199
08/06/2023 08:00:16.972,0.1147
08/06/2023 08:00:29.118,0.1043
08/06/2023 08:00:30.129,0.1095
