'EPIC GC IG.PG.MV Log File

'Date,GC IG.PG.MV
08/06/2023 14:51:54.342,6.21E-06
08/06/2023 14:51:55.362,6.36E-06
08/06/2023 14:51:56.385,6.36E-06
08/06/2023 14:51:57.399,6.06E-06
08/06/2023 14:51:58.409,6.21E-06
08/06/2023 14:51:59.420,6.36E-06
08/06/2023 14:52:00.432,6.21E-06
08/06/2023 14:52:01.452,6.21E-06
08/06/2023 14:52:02.456,6.06E-06
08/06/2023 14:52:03.464,6.21E-06
08/06/2023 14:52:04.486,6.06E-06
08/06/2023 14:52:06.487,5.92E-06
08/06/2023 14:52:08.487,6.21E-06
08/06/2023 14:52:09.493,6.06E-06
08/06/2023 14:52:10.511,6.06E-06
08/06/2023 14:52:11.524,6.06E-06
08/06/2023 14:52:12.534,6.06E-06
08/06/2023 14:52:13.544,6.06E-06
08/06/2023 14:52:14.553,6.06E-06
08/06/2023 14:52:15.575,6.06E-06
08/06/2023 14:52:16.578,5.92E-06
08/06/2023 14:52:17.590,6.06E-06
08/06/2023 14:52:19.600,5.92E-06
08/06/2023 14:52:20.604,5.78E-06
08/06/2023 14:52:21.608,5.78E-06
08/06/2023 14:52:22.622,5.64E-06
08/06/2023 14:52:23.641,5.78E-06
08/06/2023 14:52:24.650,5.64E-06
08/06/2023 14:52:25.654,5.64E-06
08/06/2023 14:52:26.662,5.64E-06
08/06/2023 14:52:27.674,5.64E-06
08/06/2023 14:52:28.680,5.50E-06
08/06/2023 14:52:30.685,5.37E-06
08/06/2023 14:52:31.694,5.37E-06
08/06/2023 14:52:32.695,5.37E-06
08/06/2023 14:52:33.696,5.24E-06
08/06/2023 14:52:35.697,5.24E-06
08/06/2023 14:52:36.699,5.12E-06
08/06/2023 14:52:37.702,5.00E-06
08/06/2023 14:52:38.717,5.00E-06
08/06/2023 14:52:39.725,5.00E-06
08/06/2023 14:52:40.744,5.00E-06
08/06/2023 14:52:41.763,5.00E-06
08/06/2023 14:52:42.764,4.88E-06
08/06/2023 14:52:43.773,4.88E-06
08/06/2023 14:52:44.787,5.00E-06
08/06/2023 14:52:45.798,4.76E-06
08/06/2023 14:52:46.829,4.88E-06
08/06/2023 14:52:47.833,4.88E-06
08/06/2023 14:52:49.836,4.88E-06
08/06/2023 14:52:50.860,4.76E-06
08/06/2023 14:52:51.870,4.76E-06
08/06/2023 14:52:52.875,4.65E-06
