'EPIC MC.PID.wOP Log File

'Date,MC.PID.wOP
08/06/2023 00:07:50.751,4.200
08/06/2023 00:07:51.763,4.200
08/06/2023 00:07:52.785,4.200
08/06/2023 00:07:53.809,4.200
08/06/2023 00:07:54.830,4.200
08/06/2023 00:07:55.840,4.200
08/06/2023 00:07:56.852,4.200
08/06/2023 00:07:57.872,4.200
08/06/2023 00:07:58.882,4.200
08/06/2023 00:07:59.907,4.200
08/06/2023 00:08:00.916,4.200
08/06/2023 00:08:01.929,4.200
08/06/2023 00:08:02.953,4.200
08/06/2023 00:08:03.962,4.200
08/06/2023 00:08:04.986,4.200
08/06/2023 00:08:06.001,4.200
08/06/2023 00:08:07.018,4.200
08/06/2023 00:08:08.028,4.200
08/06/2023 00:08:09.051,4.200
08/06/2023 00:08:10.062,4.200
08/06/2023 00:08:11.083,4.200
08/06/2023 00:08:12.108,4.200
08/06/2023 00:08:13.117,4.200
08/06/2023 00:08:14.140,4.200
08/06/2023 00:08:15.148,4.200
08/06/2023 00:08:16.170,4.200
08/06/2023 00:08:17.193,4.200
08/06/2023 00:08:18.214,4.200
08/06/2023 00:08:19.222,4.200
08/06/2023 00:08:20.232,4.200
08/06/2023 00:08:21.255,4.200
08/06/2023 00:08:22.265,4.200
08/06/2023 00:08:23.286,4.200
08/06/2023 00:08:24.294,4.200
08/06/2023 00:08:25.306,4.200
08/06/2023 00:08:26.329,4.200
08/06/2023 00:08:27.353,4.200
08/06/2023 00:08:28.378,4.200
08/06/2023 00:08:29.392,4.200
08/06/2023 00:08:30.404,4.200
08/06/2023 00:08:31.413,4.200
08/06/2023 00:08:32.439,4.200
08/06/2023 00:08:33.462,4.200
08/06/2023 00:08:34.474,4.200
08/06/2023 00:08:35.491,4.200
08/06/2023 00:08:36.508,4.200
08/06/2023 00:08:37.530,4.200
08/06/2023 00:08:38.541,4.200
08/06/2023 00:08:39.554,4.200
08/06/2023 00:08:40.563,4.200
08/06/2023 00:08:41.582,4.200
08/06/2023 00:08:42.592,4.200
08/06/2023 00:08:43.601,4.200
08/06/2023 00:08:44.622,4.200
08/06/2023 00:08:45.632,4.200
08/06/2023 00:08:46.644,4.200
08/06/2023 00:08:47.670,4.200
08/06/2023 00:08:48.692,4.200
08/06/2023 00:08:49.717,4.200
08/06/2023 00:08:50.737,4.200
08/06/2023 00:08:51.748,4.200
08/06/2023 00:08:52.772,4.200
08/06/2023 00:08:53.782,4.200
08/06/2023 00:08:54.804,4.200
08/06/2023 00:08:55.829,4.200
08/06/2023 00:08:56.852,4.200
08/06/2023 00:08:57.864,4.200
08/06/2023 00:08:58.879,4.200
08/06/2023 00:08:59.900,4.200
08/06/2023 00:09:00.923,4.200
08/06/2023 00:09:01.941,4.200
08/06/2023 00:09:02.955,4.200
08/06/2023 00:09:03.971,4.200
08/06/2023 00:09:04.980,4.200
08/06/2023 00:09:06.002,4.200
08/06/2023 00:09:07.026,4.200
08/06/2023 00:09:08.046,4.200
08/06/2023 00:09:09.067,4.100
08/06/2023 00:09:10.090,4.200
