'EPIC Sub.PG.V Log File

'Date,Sub.PG.V
08/06/2023 23:13:07.512,7.278
08/06/2023 23:13:08.531,7.247
08/06/2023 23:13:10.531,7.241
08/06/2023 23:13:12.530,7.245
08/06/2023 23:13:13.538,7.256
08/06/2023 23:13:14.554,7.288
08/06/2023 23:13:15.575,7.272
08/06/2023 23:13:16.593,7.257
08/06/2023 23:13:17.611,7.283
08/06/2023 23:13:18.612,7.274
08/06/2023 23:13:19.631,7.261
08/06/2023 23:13:21.632,7.265
08/06/2023 23:13:23.631,7.252
08/06/2023 23:13:25.631,7.247
08/06/2023 23:13:27.630,7.270
08/06/2023 23:13:29.632,7.274
08/06/2023 23:13:30.651,7.276
08/06/2023 23:13:32.650,7.264
08/06/2023 23:13:34.651,7.270
08/06/2023 23:13:36.651,7.250
08/06/2023 23:13:37.657,7.264
08/06/2023 23:13:38.671,7.256
08/06/2023 23:13:40.670,7.286
08/06/2023 23:13:42.672,7.243
08/06/2023 23:13:43.691,7.257
08/06/2023 23:13:44.695,7.262
08/06/2023 23:13:45.711,7.265
08/06/2023 23:13:47.711,7.268
08/06/2023 23:13:49.711,7.278
08/06/2023 23:13:51.711,7.269
08/06/2023 23:13:52.712,7.279
08/06/2023 23:13:53.732,7.289
08/06/2023 23:13:55.731,7.280
08/06/2023 23:13:57.731,7.268
08/06/2023 23:13:58.752,7.285
08/06/2023 23:13:59.770,7.276
08/06/2023 23:14:00.772,7.251
08/06/2023 23:14:01.792,7.261
08/06/2023 23:14:03.791,7.282
08/06/2023 23:14:04.819,7.289
08/06/2023 23:14:05.831,7.261
08/06/2023 23:14:07.831,7.247
08/06/2023 23:14:09.831,7.266
08/06/2023 23:14:10.839,7.260
08/06/2023 23:14:11.853,7.242
08/06/2023 23:14:12.874,7.243
08/06/2023 23:14:13.891,7.255
08/06/2023 23:14:15.890,7.245
08/06/2023 23:14:17.892,7.259
08/06/2023 23:14:19.890,7.254
08/06/2023 23:14:21.892,7.244
08/06/2023 23:14:23.891,7.264
08/06/2023 23:14:24.892,7.229
08/06/2023 23:14:25.910,7.229
08/06/2023 23:14:27.909,7.264
08/06/2023 23:14:29.911,7.275
08/06/2023 23:14:31.909,7.260
08/06/2023 23:14:32.934,7.254
08/06/2023 23:14:33.951,7.223
08/06/2023 23:14:35.950,7.241
08/06/2023 23:14:36.952,7.236
08/06/2023 23:14:37.971,7.250
08/06/2023 23:14:39.971,7.230
